id,area_m2,rooms,kitchen_m2,floor,floors_total,district,condition,distance_to_center_km,metro_min,metro_h,house_age,has_balcony,ceiling_height,views_30d,listing_month,price_mln
1,85.5,3,16.0,1,25,новостройки,требует ремонта,14.2,14.5,0.2417,18,1,2.88,84,июнь,10.89
2,42.6,2,12.1,5,5,спальный,среднее,13.5,17.7,0.295,24,0,2.83,27,март,5.76
3,101.9,4,18.8,10,12,новостройки,требует ремонта,12.6,7.0,0.1167,0,0,2.71,69,январь,14.75
4,60.3,2,14.4,2,10,спальный,евроремонт,6.2,7.5,0.125,0,1,2.83,97,июнь,12.56
5,63.4,2,12.4,8,8,центр,хорошее,O,3.9,0.065,13,1,2.92,110,май,14.45
6,40.5,1,11.1,4,6,спальный,среднее,2.9,4.9,0.0817,9,1,2.69,21,май,7.46
7,71.3,2,15.4,19,23,спальный,хорошее,6.4,6.3,0.105,28,0,2.86,39,июнь,12.56
8,72.0,3,17.1,8,15,новостройки,среднее,15.4,,,41,0,2.5,47,январь,9.81
9,55.1,2,10.5,23,25,спальный,среднее,7.6,6.7,0.1117,39,0,2.86,68,февраль,8.9
10,58.7,2,15.6,4,5,центр,среднее,5.4,9.7,0.1617,31,1,2.85,77,май,13.72
11,46.6,1,9.4,2,17,пригород,среднее,22.7,,,13,1,2.58,97,июнь,5.83
12,71.3,2,17.4,2,5,спальный,среднее,4.0,8.8,0.1467,7,1,2.45,95,май,12.16
13,106.8,4,20.5,4,19,спальный,евроремонт,8.1,10.4,0.1733,29,1,2.84,65,май,19.18
14,108.9,5,17.0,8,19,пригород,евроремонт,21.1,,,26,1,2.65,17,май,15.71
15,60.6,2,12.9,2,23,спальный,хорошее,9.3,12.9,0.215,37,0,2.51,119,февраль,9.77
16,70.5,3,12.4,8,9,спальный,среднее,8.6,4.8,0.08,25,1,2.71,67,май,12.74
17,50.2,1,11.7,9,13,спальный,хорошее,8.0,16.3,0.2717,24,1,2.46,20,февраль,9.65
18,68.8,2,11.3,9,9,спальный,хорошее,11.2,8.4,0.14,42,1,2.65,96,апрель,11.6
19,55.2,2,13.3,7,17,спальный,среднее,15.9,,,3,1,2.58,204,май,9.24
20,61.2,2,13.6,6,16,Bцентр,среднее,0.0,13.5,0.225,11,1,2.71,127,июнь,13.24
21,50.0,2,13.2,8,10,спальный,хорошее,12.5,6.5,0.1083,30,1,2.64,48,июнь,10.31
22,75.5,3,14.4,3,12,центр,среднее,4.3,16.1,0.2683,50,0,2.64,31,март,14.47
23,118.4,5,23.6,6,6,спальный,хорошее,8.7,14.8,14.8,22,0,2.54,172,май,18.95
24,79.6,3,14.9,9,11,спальный,евроремонт,8.8,4.0,0.0667,19,0,2.85,124,март,13.51
25,66.9,2,14.6,4,6,Dпригород,хорошее,21.7,,,5,1,2.65,55,июнь,8.21
26,80.9,3,16.2,6,8,центр,евроремонт,0.0,7.5,0.125,42,1,2.79,117,январь,16.94
27,38.0,2,11.4,11,12,новостройки,хорошее,17.1,,,26,1,2.63,31,апрель,6.97
28,95.4,4,18.0,6,9,спальный,требует ремонта,7.1,,,19,1,2.83,114,май,13.77
29,89.3,4,16.2,12,21,новостройки,среднее,9.2,12.3,0.205,11,1,2.59,75,июнь,16.19
30,72.9,3,11.6,9,22,спальный,хорошее,10.4,14.2,0.2367,50,1,2.47,89,май,11.95
31,52.1,1,12.5,8,8,новостройки,евроремонт,8.2,10.8,0.18,57,0,2.89,17,июнь,9.05
32,56.4,3,15.2,3,14,центр,евроремонт,0.0,,,33,0,2.78,85,май,13.51
33,101.1,5,16.4,14,14,центр,среднее,3.5,11.2,11.2,36,1,2.61,60,февраль,18.44
34,62.3,2,10.4,17,18,спальный,хорошее,9.5,,,46,0,2.71,162,февраль,9.15
35,39.7,1,10.6,2,23,пригород,евроремонт,24.2,,,22,1,2.78,45,июнь,5.52
36,85.7,3,18.3,1,8,спальный,хорошее,3.3,,,14,0,3.14,17,февраль,13.55
37,79.1,3,15.3,7,17,спальный,среднее,11.2,,,38,1,2.97,41,январь,13.15
38,41.6,1,10.9,6,14,новостройки,среднее,16.1,16.3,0.2717,22,0,2.66,119,июнь,7.12
39,110.1,4,18.9,10,10,спальный,хорошее,8.8,4.5,0.075,28,1,2.59,33,март,15.84
