order_id;created_at;delivered_at;customer_id;city;category;payment;amount;items
570;2024-02-03 17:52;2024-02-05 12:27;1313;Москва;Книги;Карта;2052;2
431;2024-10-21 03:19;2024-10-21 12:27;1356;Москва;Косметика;СБП;2637;3
80;2024-10-18 02:37;2024-10-24 10:32;1050;Самара;Книги;СБП;431;1
336;2023-10-15 23:52;2023-10-19 07:41;1236;Самара;Одежда;Карта;2925;4
719;2023-06-23 04:37;2023-06-26 17:27;1300;Самара;Электроника;Карта;14247;1
1339;2024-05-16 07:08;2024-05-20 15:01;1268;Новосибирск;Одежда;Карта;2054;4
39;2023-12-11 18:34;;1377;Нижний Новгород;Косметика;СБП;2340;4
1431;2024-11-01 06:30;2024-11-04 01:22;1029;Казань;Одежда;Карта;4380;2
1134;2023-07-26 13:26;2023-07-30 14:22;1389;Ростов-на-Дону;Дом;Карта;3433;1
212;2024-11-28 17:02;2024-12-01 10:26;1122;Москва;Спорт;Карта;6277;2
922;2024-04-08 01:45;2024-04-10 05:03;1379;Ростов-на-Дону;Дом;Карта;3983;1
932;2024-07-09 11:34;2024-07-12 09:33;1194;Санкт-Петербург;Электроника;Наличные;10073;2
791;2023-11-23 13:24;2023-11-27 18:18;1040;Новосибирск;Дом;Наличные;793;1
157;2023-07-10 20:29;2023-07-15 10:10;1022;Казань;Книги;Карта;985;2
1087;2023-05-25 12:10;2023-05-27 19:32;1384;Ростов-на-Дону;Спорт;Карта;2512;2
448;2024-07-29 10:12;2024-08-02 21:04;1151;Нижний Новгород;Электроника;Карта;13559;3
24;2024-10-15 08:10;2024-10-16 04:52;1050;Москва;Книги;Карта;1011;3
563;2024-03-20 01:59;2024-03-22 04:47;1256;Москва;Одежда;Карта;2701;2
1032;2023-11-18 07:53;2023-11-18 14:12;1222;Москва;Книги;СБП;1152;1
495;2024-12-18 11:53;2024-12-20 11:32;1294;Казань;Спорт;Карта;5053;1
1338;2024-03-17 05:05;2024-03-18 06:44;1087;Москва;Электроника;Карта;1910;2
426;2024-03-11 07:46;2024-03-13 23:47;1365;Нижний Новгород;Одежда;Карта;4713;2
92;2024-08-17 04:18;;1078;Москва;Косметика;Наличные;1215;1
61;2023-09-22 15:53;2023-09-25 15:51;1215;Москва;Одежда;Карта;2321;1
587;2024-04-27 05:10;2024-05-02 07:52;1304;Самара;Электроника;Карта;15253;2
1168;2023-12-11 14:22;;1128;Москва;Косметика;СБП;393;4
944;2023-06-10 13:06;2023-06-12 02:23;1209;Санкт-Петербург;Спорт;Карта;3226;1
274;2023-05-04 18:20;2023-05-04 23:08;1331;Москва;Книги;СБП;1140;1
672;2023-11-11 19:31;2023-11-16 18:14;1103;Самара;Одежда;Карта;5066;2
885;2023-04-05 11:28;2023-04-05 22:18;1364;Москва;Одежда;СБП;4328;3
14;2024-10-22 18:47;2024-10-23 09:56;1320;Москва;Дом;СБП;3343;5
452;2023-09-22 02:55;2023-09-24 23:25;1037;Новосибирск;Одежда;Карта;2732;3
404;2023-05-10 14:52;;1261;Самара;Спорт;СБП;8988;1
330;2023-12-07 05:18;2023-12-08 01:36;1208;Москва;Книги;СБП;699;1
1198;2023-01-18 23:17;2023-01-20 22:05;1238;Москва;Одежда;Карта;3414;1
1059;2023-06-05 01:12;2023-06-06 01:14;1137;Москва;Одежда;СБП;3714;1
427;2024-02-28 04:29;2024-03-04 08:15;1326;Новосибирск;Косметика;Карта;2270;2
745;2023-05-18 23:10;2023-05-21 16:33;1154;Казань;Книги;СБП;1065;2
624;2024-02-25 02:47;2024-02-28 17:00;1223;Ростов-на-Дону;Дом;Карта;2692;2
974;2024-06-30 16:11;2024-07-05 09:20;1323;Екатеринбург;Косметика;СБП;2460;3
364;2024-05-15 16:22;2024-05-20 02:28;1274;Екатеринбург;Одежда;СБП;3574;1
1082;2023-01-06 08:30;;1381;Ростов-на-Дону;Косметика;СБП;1135;2
935;2024-07-13 07:04;2024-07-14 23:27;1289;Санкт-Петербург;Дом;СБП;2216;4
206;2023-06-10 01:07;2023-06-10 05:55;1241;Москва;Одежда;Карта;5453;1
76;2024-03-07 10:33;2024-03-08 10:26;1357;Москва;Книги;Карта;587;5
1010;2024-12-29 04:17;;1245;Москва;Дом;Карта;3111;2
470;2024-02-17 19:27;2024-02-21 13:20;1073;Ростов-на-Дону;Книги;СБП;448;1
1385;2024-07-03 02:23;2024-07-07 18:04;1033;Екатеринбург;Дом;Карта;3398;1
863;2024-09-09 05:35;;1221;Ростов-на-Дону;Косметика;Карта;1679;2
374;2023-05-11 00:48;2023-05-13 17:28;1263;Москва;Книги;СБП;1483;2
1500;2024-03-08 03:05;2024-03-10 23:50;1335;Казань;Одежда;Карта;5316;1
280;2023-08-22 05:08;2023-08-22 09:56;1202;Москва;Одежда;Карта;4125;1
998;2023-01-11 14:48;2023-01-18 05:53;1270;Новосибирск;Дом;СБП;738;1
987;2024-07-05 20:58;;1280;Москва;Дом;Карта;1557;1
1213;2024-08-17 22:12;2024-08-18 03:00;1007;Санкт-Петербург;Косметика;СБП;989;4
268;2024-09-19 03:07;2024-09-23 21:21;1160;Екатеринбург;Косметика;Наличные;1209;1
333;2024-07-31 01:44;2024-08-01 13:18;1383;Санкт-Петербург;Дом;Карта;2801;1
1353;2024-04-16 12:25;2024-04-19 08:58;1242;Москва;Спорт;СБП;2847;3
880;2023-09-14 10:21;;1107;Нижний Новгород;Косметика;Карта;1499;3
777;2024-01-15 05:50;2024-01-16 09:44;1144;Москва;Электроника;Карта;17606;4
395;2023-01-07 00:08;2023-01-08 19:34;1085;Казань;Книги;СБП;674;1
