order_id;created_at;delivered_at;customer_id;segment;channel;device;city;category;payment;amount;quantity;discount_pct;delivery_days;rating
1000;2024-01-01 07:48;2024-01-01 14:59;2231;New;Organic;Mobile;Москва;Книги;СБП;3321;5;0;0.3;4.0
1001;2024-01-01 10:32;;2402;Returning;Social;Desktop;Екатеринбург;Электроника;СБП;46897;4;0;;
1002;2024-01-01 13:57;;2055;Returning;Referral;Mobile;Ростов-на-Дону;Косметика;СБП;6252;4;0;;
1003;2024-01-01 19:56;2024-01-05 00:21;2433;Returning;Email;Mobile;Казань;Одежда;Карта;11586;3;0;3.2;5.0
1004;2024-01-02 13:18;2024-01-05 20:17;2261;Returning;Email;Desktop;Самара;Дом;СБП;3604;2;15;3.3;
1005;2024-01-02 18:49;2024-01-04 06:52;2019;Returning;Email;Mobile;Казань;Дом;Наличные;4895;2;0;1.5;5.0
1006;2024-01-02 18:50;2024-01-03 21:38;2199;New;Ads;Mobile;Москва;Дом;СБП;1974;1;0;1.1;4.0
1007;2024-01-02 19:43;2024-01-06 06:22;2445;Returning;Referral;Mobile;Екатеринбург;Электроника;Карта;9750;1;0;3.4;4.0
1008;2024-01-02 20:30;2024-01-05 04:40;2167;Returning;Email;Tablet;Санкт-Петербург;Косметика;СБП;4290;2;0;2.3;5.0
1009;2024-01-02 20:37;2024-01-05 17:13;2255;Returning;Ads;Tablet;Нижний Новгород;Спорт;Карта;4501;1;0;2.9;5.0
1010;2024-01-03 09:32;2024-01-06 05:57;2234;VIP;Referral;Desktop;Нижний Новгород;Электроника;Карта;16432;1;0;2.9;5.0
1011;2024-01-03 10:41;2024-01-04 23:14;2369;Returning;Organic;Desktop;Москва;Электроника;Карта;11021;1;5;1.5;5.0
1012;2024-01-03 12:51;2024-01-07 03:12;2245;Returning;Organic;Desktop;Казань;Дом;Карта;4174;2;0;3.6;5.0
1013;2024-01-03 15:37;;2101;Returning;Social;Desktop;Москва;Дом;Карта;3006;1;0;;
1014;2024-01-03 17:15;2024-01-08 20:54;2331;New;Organic;Desktop;Новосибирск;Электроника;Наличные;10964;1;0;5.2;3.0
1015;2024-01-04 01:25;2024-01-06 01:35;2333;Returning;Email;Mobile;Нижний Новгород;Одежда;СБП;8142;2;5;2.0;4.0
1016;2024-01-04 12:24;;2342;Returning;Organic;Mobile;Санкт-Петербург;Дом;СБП;2460;1;0;;
1017;2024-01-06 19:34;2024-01-11 13:29;2273;Returning;Social;Mobile;Новосибирск;Одежда;СБП;7324;2;0;4.7;2.0
1018;2024-01-06 21:15;;2016;Returning;Ads;Mobile;Самара;Одежда;Карта;5436;2;0;;
1019;2024-01-06 21:35;;2327;Returning;Email;Mobile;Москва;Электроника;СБП;12585;1;5;;
1020;2024-01-07 20:35;2024-01-09 05:47;2018;Returning;Organic;Mobile;Москва;Электроника;Карта;26442;2;0;1.4;5.0
1021;2024-01-08 08:06;2024-01-10 01:29;2003;Returning;Organic;Mobile;Москва;Одежда;СБП;3257;1;5;1.7;5.0
1022;2024-01-08 12:00;2024-01-13 03:33;2237;Returning;Social;Desktop;Новосибирск;Дом;Карта;4742;2;0;4.6;3.0
1023;2024-01-08 22:31;2024-01-09 05:42;2232;VIP;Referral;Mobile;Москва;Книги;Карта;4463;4;0;0.3;4.0
1024;2024-01-09 18:01;2024-01-10 04:03;2177;VIP;Social;Mobile;Москва;Электроника;Карта;44480;4;15;0.4;5.0
1025;2024-01-09 18:15;2024-01-12 05:25;2239;New;Social;Mobile;Казань;Книги;СБП;1224;2;5;2.5;5.0
1026;2024-01-10 10:49;2024-01-11 02:33;2068;New;Email;Desktop;Москва;Спорт;СБП;7649;2;0;0.7;5.0
1027;2024-01-10 13:24;2024-01-15 04:03;2012;Returning;Referral;Desktop;Новосибирск;Игрушки;Карта;1401;1;0;4.6;4.0
1028;2024-01-10 14:22;;2438;Returning;Social;Desktop;Москва;Книги;Карта;828;1;5;;
1029;2024-01-10 16:44;2024-01-12 09:25;2219;New;Referral;Desktop;Санкт-Петербург;Электроника;СБП;8409;1;0;1.7;
1030;2024-01-10 18:45;2024-01-11 20:31;2448;New;Organic;Mobile;Москва;Игрушки;СБП;3692;3;0;1.1;5.0
1031;2024-01-10 19:25;;2194;New;Email;Mobile;Нижний Новгород;Одежда;Наличные;3188;1;0;;
1032;2024-01-11 20:51;2024-01-15 07:14;2323;Returning;Email;Mobile;Екатеринбург;Книги;СБП;801;1;5;3.4;5.0
1033;2024-01-12 13:37;2024-01-13 11:26;2440;Returning;Ads;Desktop;Санкт-Петербург;Одежда;СБП;7152;2;0;0.9;4.0
1034;2024-01-12 16:46;2024-01-12 23:57;2065;Returning;Organic;Desktop;Москва;Одежда;Карта;14479;4;0;0.3;5.0
1035;2024-01-12 20:57;2024-01-14 19:17;2296;VIP;Email;Mobile;Санкт-Петербург;Одежда;СБП;4555;1;0;1.9;
1036;2024-01-13 10:44;2024-01-15 06:41;2182;Returning;Referral;Desktop;Москва;Спорт;СБП;10805;3;0;1.8;5.0
1037;2024-01-13 12:26;2024-01-18 07:26;2077;Returning;Referral;Mobile;Новосибирск;Спорт;СБП;3758;1;0;4.8;3.0
1038;2024-01-13 16:22;;2174;New;Referral;Desktop;Новосибирск;Одежда;Наличные;5917;2;0;;
1039;2024-01-13 20:32;;2018;Returning;Organic;Mobile;Москва;Дом;Карта;3684;2;0;;
1040;2024-01-13 21:13;2024-01-16 06:34;2136;VIP;Social;Tablet;Москва;Дом;Карта;9351;3;10;2.4;5.0
1041;2024-01-14 13:51;2024-01-15 06:56;2164;Returning;Organic;Desktop;Москва;Книги;Наличные;4261;4;0;0.7;5.0
1042;2024-01-14 15:33;2024-01-16 01:06;2183;New;Social;Desktop;Санкт-Петербург;Одежда;Карта;13267;5;10;1.4;
1043;2024-01-14 22:05;;2325;Returning;Referral;Tablet;Екатеринбург;Электроника;Карта;19757;2;0;;
1044;2024-01-14 22:15;2024-01-15 05:26;2099;VIP;Ads;Mobile;Санкт-Петербург;Книги;Карта;1344;1;0;0.3;4.0
1045;2024-01-15 09:10;2024-01-18 11:29;2248;New;Organic;Desktop;Самара;Электроника;Наличные;18682;2;0;3.1;5.0
1046;2024-01-15 12:17;;2315;New;Social;Desktop;Москва;Одежда;СБП;12299;4;0;;
1047;2024-01-15 12:41;2024-01-20 03:07;2424;Returning;Organic;Desktop;Самара;Дом;СБП;2311;1;0;4.6;4.0
1048;2024-01-15 14:03;2024-01-17 13:37;2443;New;Ads;Desktop;Москва;Электроника;Карта;11075;1;0;2.0;5.0
1049;2024-01-15 19:08;2024-01-16 16:41;2200;Returning;Ads;Mobile;Санкт-Петербург;Игрушки;Наличные;3444;2;0;0.9;5.0
1050;2024-01-15 19:13;2024-01-18 20:16;2413;Returning;Ads;Mobile;Нижний Новгород;Книги;СБП;1990;2;0;3.0;5.0
1051;2024-01-15 20:55;2024-01-16 20:17;2099;VIP;Ads;Mobile;Санкт-Петербург;Книги;Карта;3709;3;0;1.0;5.0
1052;2024-01-15 23:08;2024-01-16 17:05;2101;Returning;Email;Mobile;Москва;Дом;Наличные;2637;1;10;0.7;5.0
1053;2024-01-16 18:17;;2091;Returning;Ads;Mobile;Казань;Спорт;СБП;5404;1;0;;
1054;2024-01-16 20:16;2024-01-19 19:53;2391;New;Email;Mobile;Ростов-на-Дону;Спорт;Карта;4476;1;0;3.0;4.0
1055;2024-01-16 21:24;2024-01-21 06:00;2131;VIP;Social;Tablet;Казань;Косметика;СБП;13551;5;5;4.4;4.0
1056;2024-01-16 21:30;2024-01-17 08:11;2225;VIP;Email;Mobile;Санкт-Петербург;Книги;СБП;4288;3;0;0.4;5.0
1057;2024-01-17 00:29;2024-01-21 20:06;2329;New;Ads;Mobile;Екатеринбург;Электроника;СБП;33505;3;0;4.8;3.0
1058;2024-01-17 08:39;2024-01-21 04:00;2366;Returning;Ads;Mobile;Екатеринбург;Косметика;СБП;5738;3;0;3.8;5.0
1059;2024-01-17 10:21;2024-01-18 14:32;2420;Returning;Social;Desktop;Ростов-на-Дону;Дом;Карта;5540;2;0;1.2;5.0
1060;2024-01-17 20:33;2024-01-20 20:02;2339;VIP;Ads;Tablet;Нижний Новгород;Игрушки;Карта;1975;1;0;3.0;5.0
1061;2024-01-17 20:55;;2057;Returning;Organic;Tablet;Екатеринбург;Одежда;Карта;3068;1;0;;
1062;2024-01-17 21:28;2024-01-18 04:39;2364;Returning;Ads;Mobile;Москва;Спорт;Карта;15049;3;0;0.3;5.0
1063;2024-01-17 23:30;2024-01-21 17:11;2158;Returning;Social;Mobile;Ростов-на-Дону;Книги;Карта;732;1;20;3.7;4.0
1064;2024-01-17 23:59;2024-01-19 14:49;2218;VIP;Ads;Mobile;Москва;Одежда;Карта;9851;2;10;1.6;5.0
1065;2024-01-18 12:03;2024-01-20 08:34;2332;Returning;Ads;Desktop;Санкт-Петербург;Косметика;СБП;2256;1;0;1.9;5.0
1066;2024-01-18 12:39;2024-01-20 12:28;2289;New;Email;Desktop;Санкт-Петербург;Книги;СБП;2309;3;5;2.0;4.0
1067;2024-01-18 18:37;2024-01-19 23:01;2218;VIP;Ads;Mobile;Москва;Дом;СБП;3295;1;0;1.2;4.0
1068;2024-01-18 22:26;2024-01-21 15:35;2269;New;Email;Mobile;Новосибирск;Дом;Карта;5434;2;0;2.7;5.0
1069;2024-01-18 22:30;2024-01-23 17:08;2069;New;Ads;Tablet;Екатеринбург;Книги;Карта;745;1;0;4.8;3.0
1070;2024-01-19 10:24;2024-01-19 17:35;2396;Returning;Ads;Desktop;Санкт-Петербург;Книги;Карта;1018;1;0;0.3;5.0
1071;2024-01-19 11:47;2024-01-23 12:40;2223;VIP;Ads;Desktop;Самара;Косметика;СБП;2488;1;10;4.0;4.0
1072;2024-01-19 13:15;2024-01-22 01:32;2013;Returning;Referral;Desktop;Санкт-Петербург;Косметика;Карта;2409;1;0;2.5;4.0
1073;2024-01-19 14:15;2024-01-26 08:24;2222;Returning;Social;Desktop;Новосибирск;Электроника;Наличные;32094;3;10;6.8;3.0
1074;2024-01-20 10:15;2024-01-22 07:53;2234;VIP;Referral;Desktop;Нижний Новгород;Электроника;Наличные;19765;1;0;1.9;5.0
1075;2024-01-20 17:36;2024-01-22 06:15;2159;Returning;Email;Desktop;Санкт-Петербург;Электроника;Карта;23534;2;0;1.5;5.0
1076;2024-01-20 21:19;2024-01-21 13:12;2276;New;Organic;Mobile;Москва;Книги;СБП;705;1;0;0.7;5.0
1077;2024-01-20 22:21;2024-01-21 05:32;2354;New;Ads;Mobile;Москва;Косметика;Карта;4653;3;0;0.3;5.0
1078;2024-01-21 09:14;2024-01-24 18:36;2319;VIP;Ads;Desktop;Нижний Новгород;Дом;Карта;8462;2;5;3.4;
1079;2024-01-21 09:18;;2208;New;Social;Desktop;Нижний Новгород;Одежда;Наличные;4612;2;20;;
1080;2024-01-21 12:42;2024-01-24 03:32;2138;Returning;Social;Desktop;Москва;Игрушки;СБП;3983;3;10;2.6;4.0
1081;2024-01-21 20:58;2024-01-23 12:12;2382;Returning;Organic;Mobile;Санкт-Петербург;Игрушки;Наличные;1656;1;0;1.6;
1082;2024-01-22 12:25;2024-01-23 18:57;2168;New;Ads;Mobile;Москва;Спорт;Карта;11405;3;0;1.3;5.0
1083;2024-01-22 19:41;;2376;VIP;Email;Mobile;Нижний Новгород;Электроника;Карта;37909;2;10;;
1084;2024-01-22 21:12;2024-01-23 07:35;2390;Returning;Organic;Mobile;Москва;Книги;СБП;2168;2;0;0.4;5.0
1085;2024-01-22 21:14;2024-01-25 13:58;2020;Returning;Ads;Mobile;Санкт-Петербург;Книги;СБП;1623;2;0;2.7;
